prefix,nexthop,protocol,distance
99.1.0.0/16,10.100.12.81,bgp,20
99.1.0.0/16,10.100.12.89,bgp,20
99.1.0.0/16,10.100.13.48,bgp,20
99.1.0.0/16,10.100.13.52,bgp,20
10.3.98.98/32,10.51.30.1,eigrp,170
10.3.98.98/32,10.51.30.65,eigrp,170
10.3.98.98/32,10.106.110.33,eigrp,170
10.3.98.98/32,10.106.110.37,eigrp,170
10.3.98.98/32,10.106.110.49,eigrp,170
10.3.98.98/32,10.106.110.53,eigrp,170
10.3.99.99/32,10.51.30.1,eigrp,170
10.3.99.99/32,10.51.30.65,eigrp,170
10.3.99.99/32,10.106.110.33,eigrp,170
10.3.99.99/32,10.106.110.37,eigrp,170
10.3.99.99/32,10.106.110.49,eigrp,170
10.3.99.99/32,10.106.110.53,eigrp,170
10.4.148.103/32,10.106.110.65,bgp,20
10.4.148.103/32,10.106.110.69,bgp,20
10.4.148.103/32,10.106.110.81,bgp,20
10.4.148.103/32,10.106.110.85,bgp,20
10.7.136.103/32,10.106.110.65,bgp,20
10.7.136.103/32,10.106.110.69,bgp,20
10.7.136.103/32,10.106.110.81,bgp,20
10.7.136.103/32,10.106.110.85,bgp,20
10.8.192.0/19,10.106.110.65,bgp,20
10.8.192.0/19,10.106.110.69,bgp,20
10.8.192.0/19,10.106.110.81,bgp,20
10.8.192.0/19,10.106.110.85,bgp,20
10.25.22.0/27,10.51.30.5,eigrp,90
10.25.22.0/27,10.51.30.69,eigrp,90
10.25.22.0/27,10.118.65.161,eigrp,90
10.25.22.0/27,10.118.65.165,eigrp,90
10.25.22.0/27,10.118.65.177,eigrp,90
10.25.22.0/27,10.118.65.181,eigrp,90
10.25.22.32/28,10.118.92.129,bgp,20
10.25.22.32/28,10.118.92.137,bgp,20
10.25.22.80/28,10.118.92.177,bgp,20
10.25.22.80/28,10.118.92.185,bgp,20
10.25.22.112/28,10.118.92.129,bgp,20
10.25.22.112/28,10.118.92.137,bgp,20
10.25.22.128/28,10.118.92.161,bgp,20
10.25.22.128/28,10.118.92.169,bgp,20
10.25.22.144/28,10.51.30.5,eigrp,170
10.25.22.144/28,10.51.30.69,eigrp,170
10.25.22.144/28,10.118.65.161,eigrp,170
10.25.22.144/28,10.118.65.165,eigrp,170
10.25.22.144/28,10.118.65.177,eigrp,170
10.25.22.144/28,10.118.65.181,eigrp,170
10.25.22.160/28,10.51.30.5,eigrp,90
10.25.22.160/28,10.51.30.69,eigrp,90
10.25.22.160/28,10.118.65.161,eigrp,90
10.25.22.160/28,10.118.65.165,eigrp,90
10.25.22.160/28,10.118.65.177,eigrp,90
10.25.22.160/28,10.118.65.181,eigrp,90
10.25.22.176/28,10.118.92.177,bgp,20
10.25.22.176/28,10.118.92.185,bgp,20
10.25.22.192/28,10.118.92.177,bgp,20
10.25.22.192/28,10.118.92.185,bgp,20
10.25.22.208/28,10.118.92.177,bgp,20
10.25.22.208/28,10.118.92.185,bgp,20
10.25.22.224/27,10.118.92.177,bgp,20
10.25.22.224/27,10.118.92.185,bgp,20
10.48.0.0/18,10.51.30.1,eigrp,90
10.48.0.0/18,10.51.30.65,eigrp,90
10.48.0.0/18,10.106.110.33,eigrp,90
10.48.0.0/18,10.106.110.37,eigrp,90
10.48.0.0/18,10.106.110.49,eigrp,90
10.48.0.0/18,10.106.110.53,eigrp,90
10.48.0.8/31,10.51.30.1,eigrp,90
10.48.0.8/31,10.106.110.33,eigrp,90
10.48.0.10/31,10.106.110.37,eigrp,90
10.48.0.12/31,10.51.30.1,eigrp,90
10.48.0.12/31,10.106.110.33,eigrp,90
10.48.0.14/31,10.106.110.37,eigrp,90
10.48.0.16/31,10.51.30.65,eigrp,90
10.48.0.16/31,10.106.110.49,eigrp,90
10.48.0.18/31,10.106.110.53,eigrp,90
10.48.0.20/31,10.51.30.65,eigrp,90
10.48.0.20/31,10.106.110.49,eigrp,90
10.48.0.22/31,10.106.110.53,eigrp,90
10.48.66.0/23,10.51.30.1,eigrp,170
10.48.66.0/23,10.51.30.65,eigrp,170
10.48.66.0/23,10.106.110.33,eigrp,170
10.48.66.0/23,10.106.110.37,eigrp,170
10.48.66.0/23,10.106.110.49,eigrp,170
10.48.66.0/23,10.106.110.53,eigrp,170
10.48.68.0/22,10.51.30.1,eigrp,170
10.48.68.0/22,10.51.30.65,eigrp,170
10.48.68.0/22,10.106.110.33,eigrp,170
10.48.68.0/22,10.106.110.37,eigrp,170
10.48.68.0/22,10.106.110.49,eigrp,170
10.48.68.0/22,10.106.110.53,eigrp,170
10.48.72.0/22,10.51.30.1,eigrp,170
10.48.72.0/22,10.51.30.65,eigrp,170
10.48.72.0/22,10.106.110.33,eigrp,170
10.48.72.0/22,10.106.110.37,eigrp,170
10.48.72.0/22,10.106.110.49,eigrp,170
10.48.72.0/22,10.106.110.53,eigrp,170
10.48.76.0/23,10.51.30.1,eigrp,170
10.48.76.0/23,10.51.30.65,eigrp,170
